Category;ARP No.;Name;Time Signature;Length;Original Tempo;Note/Chord
Bass;285;Cyborg;4/4;1;90;
Bass;286;Kronic;4/4;1;100;
Bass;287;Wazzo;4/4;1;94;
Bass;288;SyBass1N;4/4;1;120;N
Bass;289;SyBass2N;4/4;1;120;N
Bass;290;SyBass3N;4/4;1;120;N
Bass;291;AcstcJaz1N;4/4;4;204;N
Bass;292;AcstcJaz2N;4/4;4;204;N
Bass;293;AcstcJaz3N;4/4;4;204;N
Bass;294;AcstcJaz4N;4/4;4;204;N
Bass;295;AcstcJaz5N;4/4;4;204;N
Bass;296;AcstcBasN;4/4;4;132;N
Bass;297;SlowBluesN;4/4;4;72;N
Bass;298;JmboReggC;4/4;4;100;C
Bass;299;Reggae1;4/4;4;102;
Bass;300;Reggae2N;4/4;2;92;N
Bass;301;Montuno1N;4/4;4;100;N
Bass;302;Montuno2N;4/4;1;100;N
Bass;303;FretlssBsN;4/4;4;124;N
Bass;304;LtnHouseN;4/4;4;138;N
Bass;305;SpnshPop1N;4/4;1;120;N
Bass;306;SpnshPop2N;4/4;1;120;N
Bass;307;SpnshPop3N;4/4;1;120;N
Bass;308;TurkPopN;4/4;4;101;N
Bass;309;TurkDanceN;4/4;4;130;N
Bass;310;Turkish1N;4/4;2;105;N
Bass;311;Turkish2N;4/4;2;105;N
Str;312;NewR&B1N;4/4;2;90;N
Str;313;NewR&B2N;4/4;2;90;N
Str;314;NewR&B3N;4/4;2;90;N
Str;315;NewR&B4N;4/4;2;90;N
Str;316;NewR&B5N;4/4;2;90;N
Str;317;DirtySy1N;4/4;4;85;N
Str;318;DirtySy2;4/4;4;85;
Str;319;HipHpEpic1;4/4;2;85;
Str;320;HipHpEpic2;4/4;2;85;
Str;321;HipHop1N;4/4;2;105;N
Str;322;HipHop2N;4/4;1;105;N
Str;323;PsyPizzN;4/4;1;143;N
Str;324;IrishHymnC;3/4;4;70;C
Str;325;Turkish1N;4/4;2;105;N
Str;326;Turkish2N;4/4;2;86;N
Str;327;Orcestra1C;4/4;8;102;C
Str;328;Orcestra2C;4/4;4;102;C
Str;329;Orcestra3C;4/4;8;102;C
Str;330;Baroque1C;4/4;4;88;C
Str;331;Baroque2C;4/4;4;88;C
Str;332;Strings1;4/4;1;101;
Str;333;Strings2;4/4;1;101;
Str;334;Strings3;4/4;1;101;
Str;335;Strings4;4/4;1;101;
Str;336;Strings5;4/4;1;101;
Str;337;Strings6;4/4;1;101;
Str;338;Strings7;4/4;1;101;
Str;339;Strings8;4/4;1;101;
Str;340;Strings9;4/4;2;120;
Str;341;Jupiter;4/4;4;120;
Str;342;StrngsUp1N;4/4;1;120;N
Str;343;StrnsDwn1N;4/4;1;120;N
Str;344;StrngsUp2N;4/4;1;120;N
Str;345;StrnsDwn2N;4/4;1;120;N
Str;346;Cello1;4/4;2;120;
Str;347;Cello2;4/4;2;120;
Str;348;OrcStrings;4/4;4;126;
Str;349;OrchChord;4/4;4;126;
Str;350;Pizz;4/4;1;120;
Str;351;Harp1;4/4;2;120;
Str;352;Harp2;4/4;2;120;
Str;353;Harp3;4/4;1;120;
Brs;354;Funk1;4/4;2;132;
Brs;355;Funk2;4/4;4;132;
Brs;356;Funk3;4/4;2;132;
Brs;357;Funk4;4/4;1;132;
Brs;358;JazzFunk1;4/4;4;120;
Brs;359;JazzFunk2;4/4;1;120;
Brs;360;Soul;4/4;1;120;
Brs;361;NewGospel;4/4;2;90;
Brs;362;Salsa1;4/4;2;123;
Brs;363;Salsa2;4/4;4;120;
Brs;364;Salsa3N;4/4;2;123;N
Brs;365;Salsa4N;4/4;2;123;N
Brs;366;Salsa5N;4/4;2;123;N
Brs;367;Salsa6N;4/4;1;123;N
Brs;368;Samba1;4/4;4;120;
Brs;369;Samba2;4/4;2;120;
Brs;370;Turkish;9/8;2;125;
Brs;371;BrassSec1;4/4;1;120;
Brs;372;BrassSec2;4/4;1;120;
Brs;373;BrassSec3;4/4;1;120;
Brs;374;BrassSec4;4/4;1;120;
Brs;375;BrassSec5;4/4;1;120;
RdPp;376;HipHop1N;4/4;2;105;N
RdPp;377;HipHop2N;4/4;2;105;N
RdPp;378;Soul1N;4/4;4;120;N
RdPp;379;Soul2N;4/4;1;120;N
RdPp;380;Soul3N;4/4;1;120;N
RdPp;381;Samba1N;4/4;2;120;N
RdPp;382;Samba2N;4/4;4;120;N
RdPp;383;Samba3N;4/4;2;120;N
RdPp;384;Turkish1N;4/4;2;105;N
RdPp;385;Turkish2N;4/4;2;105;N
RdPp;386;Turkish3N;4/4;2;105;N
RdPp;387;Turkish4N;9/8;2;125;N
RdPp;388;Turkish5N;9/8;2;125;N
RdPp;389;Baroque1C;4/4;4;88;C
RdPp;390;Baroque2C;4/4;1;88;C
RdPp;391;Baroque3C;4/4;1;88;C
RdPp;392;Baroque4C;4/4;1;88;C
RdPp;393;Flute;4/4;1;120;
RdPp;394;Flutter;4/4;1;120;
Lead;395;R&BDisco1N;4/4;2;110;N
Lead;396;R&BDisco2N;4/4;1;110;N
Lead;397;R&BDisco3N;4/4;2;110;N
Lead;398;R&BDisco4N;4/4;1;110;N
Lead;399;DirtySy1;4/4;2;85;
Lead;400;DirtySy2;4/4;2;85;
Lead;401;DirtySy3;4/4;2;85;
Lead;402;HipHpEpicN;4/4;2;85;N
Lead;403;RapLead;4/4;2;100;
Lead;404;Trance1C;4/4;8;142;C
Lead;405;Trance2C;4/4;2;142;C
Lead;406;Trance3N;4/4;8;142;N
Lead;407;Trance4N;4/4;2;140;N
Lead;408;Trance5C;4/4;4;130;C
Lead;409;TranceN;4/4;2;130;N
Lead;410;PsyLead1N;4/4;1;143;N
Lead;411;PsyLead2N;4/4;2;143;N
Lead;412;Needlz;4/4;2;132;
Lead;413;CurlyQ;4/4;1;145;
PdMe;414;16BtBascC;4/4;4;77;C
PdMe;415;16BtPop1C;4/4;1;103;C
PdMe;416;16BtPop2C;4/4;4;94;C
PdMe;417;AnalogPop1;4/4;1;93;
PdMe;418;AnalogPop2;4/4;1;93;
PdMe;419;PopShufflN;4/4;4;80;N
PdMe;420;Smooth1;4/4;2;115;
PdMe;421;Smooth2;4/4;2;115;
PdMe;422;Cycle1;4/4;3;120;
PdMe;423;Cycle2;4/4;6;120;
PdMe;424;Cycle3N;4/4;14;118;N
PdMe;425;RipplesN;4/4;4;82;N
CrPc;426;R&BDisco1N;4/4;1;110;N
CrPc;427;R&BDisco2N;4/4;2;110;N
CrPc;428;Trance;4/4;4;140;
CrPc;429;Ethnic;7/4;3;120;
CrPc;430;MOD1;4/4;1;120;
CrPc;431;MOD2;4/4;2;120;
CrPc;432;Trill1;4/4;1;120;
CrPc;433;Trill2;4/4;2;120;
CrPc;434;MalltRoll1;4/4;2;120;
CrPc;435;MalltRoll2;4/4;2;120;
CrPc;436;SteelDrum1;4/4;1;160;
CrPc;437;SteelDrum2;4/4;2;95;
DrPc;438;70sRock;4/4;4;130;
DrPc;439;MondoRock;4/4;2;94;
DrPc;440;XoverRock;4/4;2;100;
DrPc;441;PopRock1;4/4;2;120;
DrPc;442;PopRock2;4/4;2;126;
DrPc;443;AnalogPop;4/4;2;93;
DrPc;444;ChillKtPop;4/4;2;85;
DrPc;445;Funk;4/4;2;132;
DrPc;446;CoolFunk;4/4;2;96;
DrPc;447;JazzFunk1;4/4;4;120;
DrPc;448;JazzFunk2;4/4;4;120;
DrPc;449;NewR&B;4/4;1;97;
DrPc;450;FlipHop;4/4;4;125;
DrPc;451;HipHop1;4/4;2;104;
DrPc;452;HipHop2;4/4;2;94;
DrPc;453;HipHop3;4/4;2;96;
DrPc;454;ClscHipHp;4/4;2;90;
DrPc;455;i-Hop;4/4;4;98;
DrPc;456;JazzHop;4/4;2;106;
DrPc;457;HipHpLoop1;4/4;4;95;
DrPc;458;HipHpLoop2;4/4;2;75;
DrPc;459;ChillOut;4/4;2;79;
DrPc;460;ChillKit;4/4;4;85;
DrPc;461;8ZChillBrk;4/4;4;85;
DrPc;462;8ZGatedBt;4/4;4;85;
DrPc;463;8ZHeavyHrt;4/4;4;85;
DrPc;464;8ZDestruct;4/4;4;115;
DrPc;465;8ZJarrin;4/4;2;105;
DrPc;466;8ZRomps;4/4;4;125;
DrPc;467;DubElement;4/4;2;120;
DrPc;468;Electronic;4/4;1;118;
DrPc;469;SpSFX;4/4;4;100;
DrPc;470;BigBeat1;4/4;2;120;
DrPc;471;BigBeat2;4/4;1;120;
DrPc;472;BigBeat3;4/4;1;138;
DrPc;473;BigBeat4;4/4;1;132;
DrPc;474;BigBeat5;4/4;2;124;
DrPc;475;Abstract;4/4;2;86;
DrPc;476;DnB1;4/4;1;170;
DrPc;477;DnB2;4/4;2;165;
DrPc;478;DnB3;4/4;2;154;
DrPc;479;PsycheTrnc;4/4;4;143;
DrPc;480;8ZPsyche1;4/4;2;140;
DrPc;481;8ZPsyche2;4/4;1;135;
DrPc;482;TranceKit1;4/4;4;136;
DrPc;483;TranceKit2;4/4;2;136;
DrPc;484;TranceKit3;4/4;2;136;
DrPc;485;8ZTrancBsc;4/4;1;136;
DrPc;486;8ZErlyLoFi;4/4;1;136;
DrPc;487;8ZNoizeXpr;4/4;4;136;
DrPc;488;8ZReversBt;4/4;1;136;
DrPc;489;8ZCrushDnc;4/4;2;136;
DrPc;490;Ibiza;4/4;2;135;
DrPc;491;House1;4/4;2;130;
DrPc;492;House2;4/4;4;120;
DrPc;493;House3;4/4;2;120;
DrPc;494;Garage;4/4;2;130;
DrPc;495;UKGarage;4/4;4;130;
DrPc;496;Bebop;4/4;4;152;
DrPc;497;ReggShufl1;4/4;4;90;
DrPc;498;ReggShufl2;4/4;4;90;
DrPc;499;Reggae1;4/4;2;92;
DrPc;500;Reggae2;4/4;1;92;
DrPc;501;Salsa;4/4;4;123;
DrPc;502;Montuno;4/4;4;100;
DrPc;503;BrazilSmba;4/4;4;96;
DrPc;504;Samba;4/4;4;120;
DrPc;505;Latin;4/4;4;120;
DrPc;506;Turkish1;4/4;2;105;
DrPc;507;Turkish2;4/4;2;105;
DrPc;508;Turkish3;4/4;2;105;
DrPc;509;Orchestra;4/4;4;102;
DrPc;510;1BarSlice;4/4;1;135;
DrPc;511;Linear;4/4;1;120;
Seq;512;AltRockN;4/4;4;100;N
Seq;513;R&BDiscoN;4/4;2;110;N
Seq;514;ChartR&BC;4/4;1;130;C
Seq;515;NewR&B1N;4/4;2;90;N
Seq;516;NewR&B2N;4/4;2;90;N
Seq;517;2BZ4U1;4/4;2;75;
Seq;518;2BZ4U2;4/4;2;75;
Seq;519;2BZ4U3;4/4;2;75;
Seq;520;2BZ4U4;4/4;2;75;
Seq;521;PepRally1;4/4;4;75;
Seq;522;PepRally2;4/4;4;75;
Seq;523;Ambient1N;4/4;4;102;N
Seq;524;Ambient2N;4/4;4;111;N
Seq;525;ChillOut1;4/4;4;79;
Seq;526;ChillOut2;4/4;2;79;
Seq;527;SynthPop1;4/4;1;90;
Seq;528;SynthPop2;4/4;1;90;
Seq;529;SynthPop3;4/4;1;90;
Seq;530;BigStep1N;4/4;2;116;N
Seq;531;BigStep2N;4/4;1;116;N
Seq;532;BigStep3N;4/4;2;116;N
Seq;533;BigStep4N;4/4;1;116;N
Seq;534;BrkBeats1N;4/4;4;115;N
Seq;535;BrkBeats2N;4/4;4;88;N
Seq;536;BrkBeats3N;4/4;1;88;N
Seq;537;Trance1N;4/4;8;135;N
Seq;538;Trance2N;4/4;2;140;N
Seq;539;Trance3N;4/4;3;140;N
Seq;540;Trance4;4/4;1;140;
Seq;541;Trance5;4/4;4;140;
Seq;542;Trance6;4/4;1;140;
Seq;543;Trance7;4/4;4;140;
Seq;544;PsycheSeqN;4/4;4;140;N
Seq;545;TrncPhras1;4/4;1;130;
Seq;546;TrncPhras2;4/4;1;130;
Seq;547;TrncPhras3;4/4;1;130;
Seq;548;TrncPhras4;4/4;1;130;
Seq;549;TrncPhras5;4/4;1;130;
Seq;550;TrncPhras6;4/4;1;130;
Seq;551;TrncPhras7;4/4;2;145;
Seq;552;TrncPhras8;4/4;1;145;
Seq;553;TrncPhrs1;4/4;2;145;
Seq;554;TrncPhrs2;4/4;1;145;
Seq;555;TrncPhrs3;4/4;1;145;
Seq;556;PsyPhras1N;4/4;1;143;N
Seq;557;PsyPhras2N;4/4;1;143;N
Seq;558;PsyPhras3N;4/4;2;143;N
Seq;559;PsyPhras4N;4/4;2;143;N
Seq;560;HyprTrnc1N;4/4;1;143;N
Seq;561;HyprTrnc2N;4/4;2;143;N
Seq;562;HyprTrnc3N;4/4;1;143;N
Seq;563;T-LineSeqN;4/4;1;140;N
Seq;564;DrmDance1;4/4;1;136;
Seq;565;DrmDance2;4/4;1;136;
Seq;566;Ibiza1;4/4;2;135;
Seq;567;Ibiza2;4/4;8;135;
Seq;568;Ibiza3N;4/4;2;135;N
Seq;569;Ibiza4N;4/4;2;135;N
Seq;570;Ibiza5N;4/4;2;135;N
Seq;571;Ibiza6N;4/4;2;135;N
Seq;572;RetroPop1;4/4;1;126;
Seq;573;RetroPop2;4/4;2;126;
Seq;574;TekPhrs1C;4/4;1;130;C
Seq;575;TekPhrs2C;4/4;1;130;C
Seq;576;TekPhrs3C;4/4;1;110;C
Seq;577;TekPhras1;4/4;2;120;
Seq;578;TekPhras2;4/4;2;120;
Seq;579;TeknoAttkN;4/4;2;143;N
Seq;580;AcidA1;4/4;2;127;
Seq;581;AcidA2;4/4;2;127;
Seq;582;AcidA3;4/4;2;127;
Seq;583;AcidB1;4/4;2;127;
Seq;584;AcidB2;4/4;2;127;
Seq;585;AcidC1;4/4;2;127;
Seq;586;AcidC2;4/4;2;127;
Seq;587;SynArp1;4/4;1;130;
Seq;588;SynArp2;4/4;2;130;
Seq;589;SynArp3;4/4;1;130;
Seq;590;SynArp4;4/4;1;130;
Seq;591;SynArp5;4/4;1;130;
Seq;592;SynArp6;4/4;1;124;
Seq;593;SynArp7;4/4;1;120;
Seq;594;SynArp8;4/4;1;130;
Seq;595;SynArp9;4/4;1;130;
Seq;596;SynArp10;4/4;2;130;
Seq;597;SynArp11;4/4;1;90;
Seq;598;SynArp12;4/4;2;124;
Seq;599;SynArp13;4/4;1;130;
Seq;600;SynArp14;4/4;1;130;
Seq;601;SynArp15;4/4;1;130;
Seq;602;SynArp16;4/4;1;90;
Seq;603;SynArp17;4/4;1;130;
Seq;604;SynArp18;4/4;1;120;
Seq;605;SynArp19;4/4;1;120;
Seq;606;SynArp20;4/4;1;124;
Seq;607;SynArp21;4/4;1;120;
Seq;608;SynArp22;4/4;1;120;
Seq;609;SynArp23;4/4;1;120;
Seq;610;SynArp24;4/4;1;120;
